date,location,plant_id,height_cm,short_stems,ft_stems,vigor,notes,inflorescences,fruits,avg_height,avg_width,zone,maternal_accession,lineage
4/20/20,Plover Area,320,,,,3,Buried/resprouting,,,,,Swale,A2051,13
4/20/20,Plover Area,321,,,,4,,,,,,Swale,A3002,4
4/20/20,Plover Area,322,,,,2,,,,,,Slope,B4001,1
4/20/20,Plover Area,323,,,,1,,,,,,Ridge,A2051,13
4/20/20,Plover Area,324,,,,4,,,,,,Ridge,A3015,3
4/20/20,Plover Area,325,,,,3,Resprouting,,,,,Swale,A3003,16
4/20/20,Plover Area,326,,,,3,Resprouting,,,,,Ridge,A2051,2
4/20/20,Plover Area,327,,,,1,,,,,,Ridge,B29R,18
4/20/20,Plover Area,328,,,,1,,,,,,Swale,B4001,15
4/20/20,Plover Area,401,,,,1,,,,,,Ridge,B29R,18
4/20/20,Plover Area,402,,,,1,,,,,,Ridge,A3003,16
4/20/20,Plover Area,403,,,,1,,,,,,Slope,A3051,7
4/20/20,Plover Area,404,,,,1,,,,,,Ridge,A3041,12
4/20/20,Plover Area,405,,,,4,buried,,,,,Swale,B4001,1
4/20/20,Plover Area,406,,,,1,,,,,,Ridge,A3041,6
4/20/20,Plover Area,407,,,,1,,,,,,Ridge,B4001,1
4/20/20,Plover Area,408,,,,1,,,,,,Slope,A3051,7
4/20/20,Plover Area,409,,,,1,,,,,,Slope,A3002,10
4/20/20,Plover Area,410,,,,3,Buried,,,,,Swale,B4001,1
4/20/20,Plover Area,411,,,,3,,,,,,Swale,A3002,4
4/20/20,Plover Area,412,,,,1,,,,,,Slope,B227,5
4/20/20,Plover Area,413,,,,2,Resprouting ,,,,,Swale,B4001,15
4/20/20,Plover Area,414,,,,4,Buried ,,,,,Swale,B227,17
4/20/20,Plover Area,415,,,,3,Buried,,,,,Swale,A3051,7
4/20/20,Plover Area,416,,,,1,,,,,,Slope,B4001,1
4/20/20,Plover Area,417,,,,4,Buried,,,,,Swale,A3003,16
4/20/20,Plover Area,418,,,,1,,,,,,Slope,A3015,3
4/20/20,Plover Area,419,,,,4,Buried,,,,,Swale,A3003,16
4/20/20,Plover Area,420,,,,1,,,,,,Slope,A3051,11
4/20/20,Plover Area,421,,,,2,Buried,,,,,Swale,B227,17
4/20/20,Plover Area,422,,,,1,,,,,,Slope,B227,5
4/20/20,Plover Area,423,,,,2,Buried,,,,,Swale,A2051,13
4/20/20,Plover Area,424,,,,2,,,,,,Swale,B227,17
4/20/20,Plover Area,501,,,,1,,,,,,Slope,A3051,7
4/20/20,Plover Area,502,,,,1,,,,,,Ridge,A3041,6
4/20/20,Plover Area,503,,,,1,,,,,,Slope,A2051,2
4/20/20,Plover Area,504,,,,1,,,,,,Ridge,B29R,9
4/20/20,Plover Area,505,,,,1,,,,,,Slope,B227,5
4/20/20,Plover Area,506,,,,1,,,,,,Slope,A3041,6
4/20/20,Plover Area,507,,,,1,,,,,,Ridge,B227,5
4/20/20,Plover Area,508,,,,1,,,,,,Ridge,A3051,7
4/20/20,Plover Area,509,,,,1,,,,,,Slope,A3041,6
4/20/20,Plover Area,510,,,,1,,,,,,Ridge,A3002,10
4/20/20,Plover Area,511,,,,1,,,,,,Slope,A3002,10
4/20/20,Plover Area,512,,,,1,,,,,,Slope,B227,5
4/20/20,Plover Area,513,,,,1,,,,,,Slope,A3041,6
4/20/20,Plover Area,514,,,,4,,,,,,Swale,A3041,6
4/20/20,Plover Area,515,,,,1,,,,,,Slope,B29R,9
4/20/20,Plover Area,516,,,,1,,,,,,Slope,B29R,9
4/20/20,Plover Area,517,,,,1,,,,,,Slope,A3002,10
4/20/20,Plover Area,518,,,,4,,,,,,Swale,B227,5
