Sample ID,Maternal Line,Salinity ,Rhizobia (+/-),Germinated before planting,Germination Date,Date of planting,Soil Type,Soil autoclave,"Germinated 
after planting",N added,"Yellow leaves 
4/9/20","Yellow/dead leaves 
4/13/20","Yellow/dead leaves
4/16/20","Yellow/dead leaves
4/20/20","Yellow/dead leaves
4/22/20","Yellow leaves 
(didn't water)
5/4/20","Yellow leaves
5/6/20",Date,Category,"Total # of
leaves","Healthy leaves 
(# leaf - # leaf)",# weeds,"Small plants: 
notes","4th leaf:
state","4th leaf -
length (cm)","4th leaf:
# of leaflets","5th leaf:
state","5th leaf:
length (cm)","5th leaf:
# of leaflets","6th leaf:
state","6th leaf:
length (cm)","6th leaf:
# of leaflets","7th leaf:
state","7th leaf:
length (cm)","7th leaf:
# of leaflets","8th leaf:
state","8th leaf:
length (cm)","8th leaf:
# of leaflets","9th leaf:
state","9th leaf:
length (cm)","9th leaf:
# of leaflets",,,
69,B,0,R,Y,2/10/20,2/8/20,plover,-,,4/22/20,1/3,2/3 yellow,2/3 yellow,1/3 yellow,1/3 yellow,1 yellow,1 yellow,5/29/20,small plant,4,1-4,0,,,,,,,,,,,,,,,,,,,,,,
70,B,1,-,Y,2/10/20,2/8/20,plover,-,,4/22/20,1/3,1/3 yellow,1/3 yellow,1/3 yellow,1/3 yellow,1 yellow,1 yellow,5/29/20,small plant,4,1-4,0,1 yellow leaf,,,,,,,,,,,,,,,,,,,,,
71,B,50,-,N,did not germinate,2/8/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
72,A2,0,-,Y,2/12/20,2/8/20,plover,-,,4/22/20,2/9,2/9 yellow,,"3/9 yellow, 1/9 dead","2/9 yellow, 2/9 dead",,,5/29/20,2 plants,"(1) 7
(2) 5","(1) 4-7
(2) 3-5",0,,,,,,,,,,,,,,,,,,,,,,
73,A2,100,R,Y,2/10/20,2/8/20,iris,-,,4/22/20,1/3,1/5 yellow,2/5 yellow,"1/6 yellow, 1/6 dead","1/6 yellow, 1/6 dead",1 yellow,1 yellow,5/29/20,big plant,8,5-8,0,,dead,na,na,yellow,6.9,17,green,6.2,23,green,5.6,28,,,,,,,,,
74,A2,100,R,Y,2/10/20,2/8/20,iris,-,,4/22/20,,,,,"1/6 yellow, 2/6 dead",,,5/29/20,big plant,8,5-8,0,,dead,na,na,yellow-green,7,15,green,7.5,21,green,6.4,25,,,,,,,,,
75,B,1,-,Y,2/10/20,2/8/20,iris,-,,4/22/20,,,"1/6 yellow, 1/6 dead","1/6 yellow, 2/6 dead","1/6 yellow, 2/6 dead",,,5/29/20,big plant,8,7-8,0,,dead,na,na,dead,na,na,dead,na,na,green,6.3,32,,,,,,,,,
76,B,1,-,Y,2/14/20,2/8/20,iris,-,,4/22/20,2/5,"1/5 yellow, 1/5 dead",2/5 dead,2/6 dead,"1/6 yellow, 2/6 dead",,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,green,6.9,25,green,5.5,29,,,,,,,,,
77,B,50,-,Y,2/10/20,2/8/20,iris,-,,5/8/20,,,,,,,,5/29/20,small plant,6,4-6,0,,,,,,,,,,,,,,,,,,,,,,
78,A2,0,-,Y,2/10/20,2/8/20,iris,-,,4/22/20,,,,1/5 dead,"1/6 yellow, 1/6 dead",1 yellow,1 yellow,5/29/20,big plant,7,4-7,0,,green,7.4,15,green,6.9,19,green,5.6,27,,,,,,,,,,,,
